image_id,ratio_area,color_min_R,color_max_R,color_mean_R,color_median_R,color_std_R,color_min_G,color_max_G,color_mean_G,color_median_G,color_std_G,color_min_B,color_max_B,color_mean_B,color_median_B,color_std_B,inscribed_circle_radius_norm,symmetry_loss_min,symmetry_angle,symmetry_score,hu_1,eccentricity,glcm_energy,hist_variance,hue_skewness
40,0.01470125,8,194,85.55096042825653,91.0,38.96691885726516,5,173,71.20340483235414,72.0,34.15387551026783,0,152,56.28742209197757,52.0,29.046526396933082,0.2168270400002006,0.23494112805645817,65.0,0.7650588719435418,3.0474212522733404,0.43986456090409715,0.25970707646106633,1191.7464508484532,3.2524757385253906
41,0.0093895,8,255,107.52735790879366,101.0,55.84409408133429,5,255,97.91210775462397,89.0,55.90035400746124,0,255,77.17030536687948,62.0,52.37938245809227,0.38207547169811323,0.09242322537338477,-90.0,0.9075767746266152,2.9845044653105064,0.9136990182852964,0.20121526649919627,3023.863149552571,6.130801200866699
42,0.013253875,3,255,108.22846688965312,102.0,46.360745672027114,0,255,92.41588542893484,91.0,45.37526741331545,0,255,76.2261302429296,68.0,42.862886866652175,0.19233363383525126,0.17583800016232454,85.0,0.8241619998376755,3.1115730076165136,0.42077621416852445,0.3756685536085781,1990.3000988237736,2.1754908561706543
43,0.019391333333333333,11,255,119.0476393033383,122.0,47.996205771565215,0,255,85.42298545363144,84.0,44.95155514221819,0,255,76.48270268992883,79.0,42.72158943937403,0.1968485810035883,0.23712503133442886,-65.0,0.7628749686655711,3.028565140598299,0.778652068911142,0.4283894700930762,1974.5599331942592,1.425514578819275
44,0.012554333333333334,9,255,126.99859634918054,127.0,48.30781380245271,0,255,103.2921518332078,106.0,45.19546699749606,0,255,88.42527633338533,85.0,45.46534895424782,0.24457823628126973,0.13215922474269037,20.0,0.8678407752573096,3.0349016894508996,0.3347939307924129,0.358668394602203,2063.8997519279105,1.7287038564682007
45,0.013615416666666666,9,235,89.0513469944603,79.0,46.03797555479573,6,217,74.80467892069144,68.0,42.821426402837304,0,250,47.337062154151106,32.0,42.045366675030635,0.2338918569136639,0.2683294533419347,45.0,0.7316705466580653,3.0694268698401066,0.718033342928159,0.2543008626776019,1826.3087991090758,3.6997437477111816
46,0.020934458333333333,5,255,98.75931394594508,98.0,45.11753033008876,0,243,84.4273430628465,84.0,42.30388699452029,0,241,68.47656638661482,60.0,44.1697271548898,0.22414387952561346,0.13011754940888798,-90.0,0.869882450591112,3.1182193213207547,0.35454784813150586,0.17528054970950946,1795.975494423204,1.8901605606079102
47,0.012116,3,255,94.86598161428503,87.0,59.19949478932617,0,243,82.96508845632877,78.0,52.42799838499054,0,255,109.71347781544152,97.0,66.94727041592328,0.20147547646174355,0.17526674752588378,20.0,0.8247332524741162,3.0763613566293735,0.4449981796435696,0.2616722190202879,3046.2484207411076,-1.7815918922424316
48,0.009546375,6,255,109.07899926699012,111.0,62.732036710001275,4,237,89.06132412998709,87.0,54.270057012514876,4,255,110.67756291668121,101.0,66.23830780313992,0.3033541527347288,0.116554549645836,-80.0,0.883445450354164,3.08100882205418,0.763999809180531,0.23571054549059334,3237.43938929885,-1.371220350265503
49,0.01780525,32,255,181.83232290143317,189.0,38.71255890840177,14,255,184.8975443112021,192.0,37.777967081057064,17,255,159.37921965486984,155.0,44.1009144348711,0.4170670166015625,0.17900630571863452,65.0,0.8209936942813655,3.1571726661275186,0.672180206796844,0.15574611580418024,1464.4011960859834,2.7421207427978516
