image_id,ratio_area,hu_1,color_median_B,inscribed_circle_radius_norm,color_std_R,glcm_homogeneity,color_mean_G,glcm_correlation,glcm_energy,color_min_G,color_min_R,hu_4,hist_entropy,color_mean_B,hist_mean
73,0.0183101666666666,3.0662954188948364,87.0,0.2182785538602466,56.91393143481072,0.8704837674642352,118.4412620552991,0.968694745923018,0.3090668164484279,0,5,11.587883985429514,7.707241944515993,91.79610590234724,120.57456368860868
74,0.0169653333333333,3.023658336954382,69.0,0.2021325076067889,47.535185371235144,0.9316352593176016,108.8246169335036,0.9853055099366392,0.2863672073061691,3,6,11.425884381056283,7.542013193515716,76.27136823494745,110.93288232983008
75,0.00476125,3.014297592013808,65.0,0.2000566755022321,59.65647338740682,0.8584430227447655,81.67469637220528,0.9524490806811312,0.2525369145715489,6,12,11.30767419041164,7.572754432902398,78.61723224356676,88.47773396171972
76,0.013378,3.0392157939919735,60.0,0.3649154118129185,61.55093445679971,0.8488025601950387,90.53896192866527,0.952504012347952,0.2392626309169348,0,5,10.419116798988131,7.580644228256181,64.45594673874457,93.64364408626928
77,0.007123375,2.9540128221748567,52.0,0.1883640705239364,56.42821907001171,0.8814662989057813,68.95138007846072,0.9155441516006118,0.4410982948185955,0,0,10.492923128652018,7.434131255283646,67.02309387807601,73.49955858536842
78,0.0193868333333333,2.9091091475295223,30.0,0.1230088269269024,60.52386969847266,0.938829767732428,73.17421460540649,0.970498021525054,0.5172148047668998,1,0,10.058550137597267,7.410108828744212,44.35031789653268,73.18719905114492
79,0.0127903333333333,2.924218590955851,26.0,0.2380279883360251,60.53073903939921,0.9421723203661428,65.13702283985397,0.975217384816348,0.4147506869960035,3,4,10.641064290004648,7.2179393688152444,44.017143731823055,68.77960338836219
80,0.012707,2.9679624140709286,21.0,0.2755225234561496,57.971700506209416,0.92406012983577,59.1492686061226,0.9712368574739384,0.4208614778687509,0,2,9.830375745318618,7.028791008165042,43.45138902548568,62.546755443655464
81,0.0156361666666666,2.932075338541945,25.0,0.2569711002302758,60.10351915385095,0.9406133571826556,68.72418544161776,0.9789456983228106,0.3944875990833234,2,3,10.904386595365851,7.344278837190554,48.52082167394213,72.21353875181886
82,0.0402443333333333,2.604138080508775,65.0,0.1299504950495049,56.71467510144763,0.9596719301303732,96.30306317870786,0.9804857381644752,0.6486285923840593,0,0,8.384962035525849,7.595068515757171,75.13951076098097,98.86948001532107
83,0.1874578333333333,3.065609488217005,40.0,0.3330449826989619,78.55812052530553,0.9331938250447828,83.50769745396353,0.9915116896905763,0.3742384221054975,0,1,11.41078695561162,7.346821604148994,61.499165175644286,84.06832179411667
84,0.015821865720477,3.106559514635564,66.0,0.2933854396988011,69.51776435829122,0.8901179673080892,84.79572314520979,0.9741506160075418,0.3123551302590979,1,3,12.090204749526595,7.511863072522919,82.13899155829341,89.10023022836164
85,0.0528363333333333,3.1306575763175015,13.0,0.2892665091277547,52.79378821234106,0.9635176372012092,22.570909145425865,0.979058196910704,0.4154100240325129,0,4,13.217740513531114,6.411203796567248,22.736886043368237,39.096000814308475
86,0.0253965,3.080083660084176,45.0,0.2188545309978982,66.16261977094061,0.9354896067500298,73.79493185829675,0.984531854022125,0.3510690720267557,1,2,12.25957330352807,7.448256772281624,61.995464328130026,77.84680419676778
87,0.0254383333333333,3.0699227362295636,18.0,0.4305937232040777,64.11775165973091,0.8996969213142252,52.78219603912397,0.9797715057708816,0.2196275699757172,0,0,12.538891857920982,7.08758882205832,37.98530066888098,55.547227845364674
88,0.0432945,3.1181285224291697,25.0,0.2997375189089307,57.642302697418785,0.9429389810674076,39.04806442206925,0.9823792531428308,0.3014403533558277,0,5,11.159728439796153,6.899370622523334,39.153479729047,54.4688422331008
89,0.0198381666666666,3.132958081783784,51.0,0.2905701754385965,54.26233871375032,0.950094478636398,70.09343925944127,0.9871554604179436,0.3364756191151401,0,0,12.436611950508066,7.120794765636699,65.47014265583886,72.98904618201902
